Node ID,Degree Centrality,Longitude,Latitude
6149,8.0,1271166.67902645,240877.595498696
1942,7.0,1267665.62078287,245187.42641511603
2373,7.0,1263079.9179941698,212184.875277326
3588,7.0,1266982.13521418,241771.47261962297
8801,7.0,1266668.93866985,238218.81373597702
12899,7.0,1270194.9277294597,198446.50086325404
16606,7.0,1265570.23844473,212268.68814140602
18063,7.0,1269793.3389290597,221193.78050254303
19080,7.0,1270306.7401455801,231478.61328107098
296,6.0,1269219.51166447,171298.076195449
